Country,Location,CrossName,Genotype,Rep,YLD,TGW,Heading,Height
CHINA,Beijin,BACANORA T 88,9,1,4.808333333,23,57,60
CHINA,Beijin,BACANORA T 88,9,2,4.308333333,25,57,57
CHINA,Beijin,BAVIACORA M 92,10,1,5.816666667,30,58,75
CHINA,Beijin,BAVIACORA M 92,10,2,5.095833333,34,58,74
CHINA,Beijin,BCN/RIALTO,11,1,5.7,22,64,59
CHINA,Beijin,BCN/RIALTO,11,2,5.620833333,24,68,56
CHINA,Beijin,BCN/WBLL1,12,1,5.3,28,58,67
CHINA,Beijin,BCN/WBLL1,12,2,5.3375,30,57,70
CHINA,Beijin,BECARD,13,1,4.816666667,29,57,68
CHINA,Beijin,BECARD,13,2,5.179166667,31,57,73
CHINA,Beijin,BECARD,14,1,5.995833333,35,57,76
CHINA,Beijin,BECARD,14,2,4.620833333,34,57,58
CHINA,Beijin,BECARD/KACHU,15,1,4.670833333,32,59,69
CHINA,Beijin,BECARD/KACHU,15,2,5.166666667,35,59,72
CHINA,Beijin,BRBT1*2/KIRITATI,16,1,4.645833333,32,57,75
CHINA,Beijin,BRBT1*2/KIRITATI,16,2,5.183333333,34,57,70
CHINA,Beijin,C80.1/3*BATAVIA//2*WBLL1/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,17,1,5.166666667,35,61,78
CHINA,Beijin,C80.1/3*BATAVIA//2*WBLL1/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,17,2,5.8875,36,58,77
CHINA,Beijin,CHIR3/4/SIREN//ALTAR 84/AE.SQUARROSA (205)/3/3*BUC/5/PFAU/WEAVER,18,1,5.9,33,57,72
CHINA,Beijin,CHIR3/4/SIREN//ALTAR 84/AE.SQUARROSA (205)/3/3*BUC/5/PFAU/WEAVER,18,2,5.779166667,34,57,75
CHINA,Beijin,CHWL86/6/FILIN/IRENA/5/CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER,19,1,6.095833333,33,58,76
CHINA,Beijin,CHWL86/6/FILIN/IRENA/5/CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER,19,2,5.0375,32,61,75
CHINA,Beijin,CIRNO  C 2008,20,1,5.316666667,35,56,64
CHINA,Beijin,CIRNO  C 2008,20,2,4.0125,34,57,59
CHINA,Beijin,CMH79A.955/4/AGA/3/4*SN64/CNO67//INIA66/5/NAC/6/RIALTO,21,1,5.383333333,33,58,65
